Asset,Rank,Ref_Price,Exp_Return_7d,Exp_Return_1d,Decision,volatility_7d,Target_Weight,Target_Notional,Target_Units,Stop_Price,Target_Price,Risk_Per_Unit,Notional_At_Risk,As_Of,Horizon_Days,Capital,Prev_Weight,Delta_Weight,Delta_Notional,Action,Prev_Plan_Date
DOT,1,1.1343460083007812,0.008672445440627034,0.002852529671587274,HOLD,0.046689078905926405,0.3333333333333333,3333.333333333333,2938.5507675268973,1.0381038589455471,1.2465922927788138,0.09624214935523412,282.8124418562615,2026-09-20,1,10000.0,0.0,0.3333333333333333,3333.333333333333,BUY (open),none
BNB,2,761.0164184570312,0.007912490550756199,0.0006890227633421642,HOLD,0.01421973909151422,0.3333333333333333,3333.333333333333,4.380106989139211,740.609533806377,783.0635809819012,20.406884650654206,89.38433808488817,2026-09-20,1,10000.0,0.0,0.3333333333333333,3333.333333333333,BUY (open),none
BTC,3,80901.4609375,0.005603958929424943,0.0005529961220039027,HOLD,0.026916664777199166,0.3333333333333333,3333.333333333333,0.041202387382206634,76786.51449251625,85331.222509148,4114.946444983754,169.5456174832547,2026-09-20,1,10000.0,0.0,0.3333333333333333,3333.333333333333,BUY (open),none
ETH,4,2611.34716796875,0.005483008944293717,0.0005968170718174071,NOT SELECTED,0.03281875186513397,0.0,0.0,0.0,2450.1256571050794,2786.5003543723865,161.22151086367057,0.0,2026-09-20,1,10000.0,0.0,0.0,0.0,FLAT,none
XRP,5,1.3961529731750488,0.0014816570510301148,-0.0004438407986329277,NOT SELECTED,0.05630155362643807,0.0,0.0,0.0,1.2497301165818484,1.5583470186126667,0.14642285659320042,0.0,2026-09-20,1,10000.0,0.0,0.0,0.0,FLAT,none
SOL,6,112.5992202758789,0.000980754413812371,0.0016591212967608058,NOT SELECTED,0.04775267614024335,0.0,0.0,0.0,102.70892451415631,123.85184623285991,9.890295761722598,0.0,2026-09-20,1,10000.0,0.0,0.0,0.0,FLAT,none
DOGE,7,0.0874110013246536,-5.38353527248498e-05,-0.00013599479404661428,NOT SELECTED,0.03252917546264933,0.0,0.0,0.0,0.08200081052151718,0.09315280006436086,0.005410190803136414,0.0,2026-09-20,1,10000.0,0.0,0.0,0.0,FLAT,none
ADA,8,0.2245399951934814,-0.0013182913253485579,-0.0001369523197532569,NOT SELECTED,0.050180980485549045,0.0,0.0,0.0,0.20347923644493804,0.2477127469430394,0.02106075874854335,0.0,2026-09-20,1,10000.0,0.0,0.0,0.0,FLAT,none
