,Close,High,Low,Open,Volume
2023-09-21,4.013978958129883,4.161034107208252,4.00815486907959,4.139848232269287,96861726.0
2023-09-22,4.019402027130127,4.035163879394531,3.9965779781341553,4.014036178588867,83094041.0
2023-09-23,4.0325398445129395,4.0361199378967285,4.005505084991455,4.019329071044922,60313482.0
2023-09-24,3.9901950359344482,4.056786060333252,3.9850940704345703,4.032537937164307,66771867.0
2023-09-25,4.064115047454834,4.086166858673096,3.9727420806884766,3.990417003631592,99085397.0
2023-09-26,4.014101028442383,4.087615966796875,3.993155002593994,4.0640177726745605,91992477.0
2023-09-27,3.990726947784424,4.069361209869385,3.9710500240325928,4.013868808746338,75472569.0
2023-09-28,4.074660778045654,4.094013214111328,3.9849870204925537,3.9906959533691406,83423727.0
2023-09-29,4.077261924743652,4.1127119064331055,4.063875198364258,4.074631214141846,74285652.0
2023-09-30,4.105618000030518,4.115923881530762,4.074866771697998,4.077208995819092,51458101.0
2023-10-01,4.261009216308594,4.279936790466309,4.103879928588867,4.1054768562316895,82943342.0
2023-10-02,4.123762130737305,4.2976460456848145,4.103481769561768,4.26078987121582,115298155.0
2023-10-03,4.074246883392334,4.159029960632324,4.056303977966309,4.123037815093994,59966101.0
2023-10-04,4.047316074371338,4.075450897216797,3.9947140216827393,4.074286937713623,73143922.0
2023-10-05,4.022737979888916,4.072004795074463,4.010641098022461,4.047331809997559,56530006.0
2023-10-06,4.07214879989624,4.092491149902344,4.0060319900512695,4.0226521492004395,52328321.0
2023-10-07,4.0564470291137695,4.111029148101807,4.054783821105957,4.072028160095215,40367505.0
2023-10-08,4.014286041259766,4.073115825653076,4.006164073944092,4.055929183959961,50702115.0
2023-10-09,3.8772189617156982,4.027659893035889,3.7943060398101807,4.014153957366943,111810840.0
2023-10-10,3.812432050704956,3.8912088871002197,3.7847580909729004,3.87703800201416,73969885.0
2023-10-11,3.738058090209961,3.821716070175171,3.7053520679473877,3.8124940395355225,76263823.0
2023-10-12,3.6735970973968506,3.7388510704040527,3.641685962677002,3.737694025039673,76835167.0
2023-10-13,3.721198081970215,3.7621779441833496,3.6701951026916504,3.6736350059509277,60969633.0
2023-10-14,3.7362759113311768,3.7594308853149414,3.7209739685058594,3.7215991020202637,40015361.0
2023-10-15,3.7549779415130615,3.7731521129608154,3.7120299339294434,3.736320972442627,55133272.0
2023-10-16,3.7862110137939453,3.8710389137268066,3.7422409057617188,3.7550530433654785,104165497.0
2023-10-17,3.6750569343566895,3.7859818935394287,3.662230968475342,3.7859818935394287,72585706.0
2023-10-18,3.6565489768981934,3.720716953277588,3.6366798877716064,3.675153970718384,62395387.0
2023-10-19,3.6488780975341797,3.6574389934539795,3.607706069946289,3.65643310546875,78858521.0
2023-10-20,3.7212750911712646,3.7983689308166504,3.6414990425109863,3.6491689682006836,103783716.0
2023-10-21,3.904405117034912,3.9663949012756348,3.712709903717041,3.7212390899658203,102109347.0
2023-10-22,3.9647159576416016,3.9679739475250244,3.820570945739746,3.905255079269409,102800544.0
2023-10-23,4.348272800445557,4.348272800445557,3.9311330318450928,3.9813590049743652,279500647.0
2023-10-24,4.186614036560059,4.400951862335205,4.134200096130371,4.349508762359619,287578869.0
2023-10-25,4.2850542068481445,4.3470587730407715,4.159365177154541,4.186936855316162,191355809.0
2023-10-26,4.236405849456787,4.409787178039551,4.170870780944824,4.285378932952881,196562760.0
2023-10-27,4.139359951019287,4.236472129821777,4.065489768981934,4.236472129821777,157567536.0
2023-10-28,4.180108070373535,4.221337795257568,4.135636806488037,4.139181137084961,98811863.0
2023-10-29,4.3125457763671875,4.350803852081299,4.150012969970703,4.180193901062012,114199710.0
2023-10-30,4.527799129486084,4.528045177459717,4.2440290451049805,4.312788009643555,189424182.0
2023-10-31,4.4511799812316895,4.595820903778076,4.322356224060059,4.527864933013916,197568842.0
2023-11-01,4.730909824371338,4.795650959014893,4.334122180938721,4.4510498046875,240014626.0
2023-11-02,4.635324001312256,4.795106887817383,4.557126998901367,4.7308759689331055,215676198.0
2023-11-03,4.6154937744140625,4.639011859893799,4.481236934661865,4.635337829589844,157624901.0
2023-11-04,4.691026210784912,4.768822193145752,4.595696926116943,4.61528205871582,129760785.0
2023-11-05,4.773220062255859,4.899320125579834,4.670991897583008,4.690703868865967,205523537.0
2023-11-06,4.968372821807861,4.985403060913086,4.7019429206848145,4.7727861404418945,188597116.0
2023-11-07,4.931488037109375,5.004222869873047,4.737154960632324,4.968561172485352,208520335.0
2023-11-08,5.053585052490234,5.0817718505859375,4.872838020324707,4.931319236755371,213839664.0
2023-11-09,5.087355136871338,5.253759860992432,4.796288013458252,5.052425861358643,371195493.0
2023-11-10,5.300800800323486,5.3093390464782715,5.011776924133301,5.087687015533447,285459747.0
2023-11-11,5.553164958953857,5.6576409339904785,5.120489120483398,5.300642967224121,410791406.0
2023-11-12,5.707890033721924,5.846567153930664,5.392652988433838,5.553711891174316,396517036.0
2023-11-13,5.368368148803711,5.8761701583862305,5.364659786224365,5.708605766296387,330915168.0
2023-11-14,5.2027268409729,5.515987873077393,5.0657639503479,5.367783069610596,287416833.0
2023-11-15,5.566057205200195,5.631501197814941,5.200839996337891,5.202480792999268,273974492.0
2023-11-16,5.358421802520752,5.784718990325928,5.314825057983398,5.56646203994751,348858975.0
2023-11-17,5.242203235626221,5.479097843170166,5.08736515045166,5.3580322265625,255997486.0
2023-11-18,5.291220188140869,5.292086124420166,5.024771213531494,5.242760181427002,189841324.0
2023-11-19,5.444248199462891,5.479985237121582,5.193368911743164,5.291365146636963,187907209.0
2023-11-20,5.304597854614258,5.559099197387695,5.292698860168457,5.44413423538208,217195343.0
2023-11-21,4.8893890380859375,5.326882839202881,4.855857849121094,5.304758071899414,285788399.0
2023-11-22,5.17286491394043,5.278530120849609,4.87028694152832,4.888023853302002,208993295.0
2023-11-23,5.13363790512085,5.2166547775268555,5.096879959106445,5.17264986038208,122906505.0
2023-11-24,5.24334192276001,5.288729190826416,5.127062797546387,5.133674144744873,193231709.0
2023-11-25,5.3300862312316895,5.381474018096924,5.230507850646973,5.242917060852051,124787041.0
2023-11-26,5.32512903213501,5.4074578285217285,5.2050018310546875,5.33013916015625,170218507.0
2023-11-27,5.161478042602539,5.36693000793457,5.049295902252197,5.324221134185791,203213671.0
2023-11-28,5.2706780433654785,5.308376789093018,5.116793155670166,5.1611480712890625,187192411.0
2023-11-29,5.168088912963867,5.370061874389648,5.160088062286377,5.270658016204834,184196011.0
2023-11-30,5.465794086456299,5.567933082580566,5.128605842590332,5.1681108474731445,282346044.0
2023-12-01,5.475039958953857,5.516274929046631,5.37985897064209,5.46608304977417,153997357.0
2023-12-02,5.573881149291992,5.597385883331299,5.458980083465576,5.474730968475342,128776781.0
2023-12-03,5.54657506942749,5.608564853668213,5.443553924560547,5.573408126831055,152613977.0
