,Close,High,Low,Open,Volume
2023-09-21,0.24545499682426453,0.252905011177063,0.24544000625610352,0.2516399919986725,248242483.0
2023-09-22,0.2449219971895218,0.24638299643993378,0.2432360053062439,0.24545800685882568,120378252.0
2023-09-23,0.2461329996585846,0.24667499959468842,0.24399599432945251,0.24491600692272186,68761491.0
2023-09-24,0.243026003241539,0.24622799456119537,0.24256500601768494,0.24613599479198456,75004199.0
2023-09-25,0.24588100612163544,0.24606400728225708,0.24218200147151947,0.24302799999713898,116640933.0
2023-09-26,0.2453950047492981,0.24739600718021393,0.24395400285720825,0.24587200582027435,106282468.0
2023-09-27,0.24479100108146667,0.24792200326919556,0.24310700595378876,0.24539099633693695,107855435.0
2023-09-28,0.24911999702453613,0.2504410147666931,0.24349699914455414,0.2447890043258667,133206511.0
2023-09-29,0.24953599274158478,0.25544700026512146,0.2479739934206009,0.2491140067577362,168414042.0
2023-09-30,0.2540470063686371,0.2546730041503906,0.24932199716567993,0.24953900277614594,108039965.0
2023-10-01,0.2658950090408325,0.26747098565101624,0.25401899218559265,0.25404301285743713,165088197.0
2023-10-02,0.2595129907131195,0.2690359950065613,0.25825798511505127,0.2658880054950714,212684773.0
2023-10-03,0.261027991771698,0.2642180025577545,0.25808998942375183,0.25948598980903625,160216793.0
2023-10-04,0.25931501388549805,0.2610499858856201,0.2545740008354187,0.26103198528289795,138128623.0
2023-10-05,0.2601490020751953,0.26371800899505615,0.2570439875125885,0.25929298996925354,103200693.0
2023-10-06,0.2648720145225525,0.2665579915046692,0.2601509988307953,0.2601509988307953,93706350.0
2023-10-07,0.2587350010871887,0.26552098989486694,0.2572140097618103,0.2648650109767914,116821694.0
2023-10-08,0.25662899017333984,0.2591269910335541,0.2559469938278198,0.2587519884109497,77624838.0
2023-10-09,0.25164198875427246,0.2585330009460449,0.2494249939918518,0.2566100060939789,134553476.0
2023-10-10,0.24914099276065826,0.2531009912490845,0.24750100076198578,0.2516309916973114,110183513.0
2023-10-11,0.24800099432468414,0.2494809925556183,0.24540500342845917,0.24912700057029724,113880690.0
2023-10-12,0.2459219992160797,0.24807099997997284,0.24317599833011627,0.24799899756908417,92208448.0
2023-10-13,0.24614599347114563,0.24915899336338043,0.24518699944019318,0.24591100215911865,99166403.0
2023-10-14,0.2470110058784485,0.24765600264072418,0.24524900317192078,0.24614599347114563,71920372.0
2023-10-15,0.24735599756240845,0.2482459992170334,0.24578599631786346,0.24699799716472626,81524646.0
2023-10-16,0.25156301259994507,0.2577979862689972,0.24734599888324738,0.24734599888324738,187099359.0
2023-10-17,0.24711500108242035,0.2516759932041168,0.24661299586296082,0.25155800580978394,131953756.0
2023-10-18,0.2434529960155487,0.24793100357055664,0.24306200444698334,0.2471030056476593,107992174.0
2023-10-19,0.24692299962043762,0.2469239979982376,0.24065600335597992,0.2434529960155487,120374373.0
2023-10-20,0.25113800168037415,0.2527180016040802,0.24598099291324615,0.24693800508975983,137878642.0
2023-10-21,0.25858500599861145,0.26191699504852295,0.2499839961528778,0.25112199783325195,138559397.0
2023-10-22,0.2635729908943176,0.26404398679733276,0.25683099031448364,0.2585889995098114,121687463.0
2023-10-23,0.2799539864063263,0.2799539864063263,0.26248699426651,0.2650279998779297,313911948.0
