,Close,High,Low,Open,Volume
2023-09-21,210.7939453125,215.109375,209.58688354492188,214.35374450683594,384479845.0
2023-09-22,211.15086364746094,212.02658081054688,209.94168090820312,210.7893829345703,274805031.0
2023-09-23,210.56060791015625,211.58322143554688,210.1420135498047,211.1380615234375,215040995.0
2023-09-24,208.28289794921875,211.23727416992188,207.9329376220703,210.5747833251953,287192497.0
2023-09-25,210.0738067626953,210.5183868408203,207.47808837890625,208.2601318359375,294180845.0
2023-09-26,212.37844848632812,213.1878204345703,209.86691284179688,210.0501708984375,615780140.0
2023-09-27,211.98541259765625,215.72874450683594,210.88600158691406,212.37139892578125,753741988.0
2023-09-28,215.07598876953125,216.77532958984375,211.6513214111328,211.99095153808594,358321830.0
2023-09-29,215.2794189453125,217.25770568847656,214.50637817382812,215.09397888183594,335321479.0
2023-09-30,214.82130432128906,216.31216430664062,214.4836883544922,215.2777862548828,243788424.0
2023-10-01,218.04713439941406,219.1338348388672,213.5065155029297,214.80032348632812,387408083.0
2023-10-02,214.7579345703125,221.18829345703125,213.54632568359375,218.04934692382812,466879383.0
2023-10-03,213.43594360351562,215.72119140625,212.77056884765625,214.7349090576172,305437646.0
2023-10-04,213.4130859375,213.7624053955078,210.9364013671875,213.44146728515625,357560724.0
2023-10-05,210.67967224121094,213.78359985351562,210.4712371826172,213.42274475097656,351872670.0
2023-10-06,213.55552673339844,214.39295959472656,210.5572509765625,210.66526794433594,271152975.0
2023-10-07,212.36447143554688,213.85986328125,211.76080322265625,213.54396057128906,211771782.0
2023-10-08,211.51998901367188,212.84677124023438,209.7017822265625,212.38101196289062,267193041.0
2023-10-09,205.75096130371094,212.1028594970703,203.6554412841797,211.52261352539062,416312027.0
2023-10-10,208.57687377929688,210.45428466796875,205.75009155273438,205.75009155273438,441959353.0
2023-10-11,206.53341674804688,208.7305450439453,204.8092498779297,208.58229064941406,323117665.0
2023-10-12,205.2294158935547,206.6591033935547,203.658447265625,206.53587341308594,302337006.0
2023-10-13,206.03611755371094,207.94253540039062,204.61761474609375,205.22579956054688,296977151.0
2023-10-14,206.60189819335938,207.02554321289062,205.82728576660156,206.040283203125,203846460.0
2023-10-15,209.7425079345703,210.2316131591797,206.47857666015625,206.60028076171875,352524312.0
2023-10-16,214.82395935058594,217.12123107910156,209.74880981445312,209.74880981445312,521099239.0
2023-10-17,211.6432342529297,215.01222229003906,210.38235473632812,214.81211853027344,352621995.0
2023-10-18,210.50103759765625,213.57627868652344,210.09669494628906,211.63619995117188,275336939.0
2023-10-19,211.1441650390625,211.41201782226562,208.53712463378906,210.4916229248047,281310969.0
2023-10-20,212.30084228515625,216.1024169921875,210.74655151367188,211.14505004882812,335590168.0
2023-10-21,214.3056640625,215.61277770996094,211.6225128173828,212.29852294921875,267943731.0
2023-10-22,217.74737548828125,218.00485229492188,213.83428955078125,214.3217315673828,286771903.0
2023-10-23,228.35276794433594,229.98146057128906,218.3049774169922,218.45591735839844,611625206.0
2023-10-24,225.14295959472656,236.7500762939453,223.1171417236328,228.3383026123047,658304834.0
2023-10-25,222.179931640625,228.8148193359375,222.0341796875,225.16864013671875,414309192.0
2023-10-26,223.2360382080078,227.85787963867188,219.92672729492188,222.18551635742188,438534864.0
2023-10-27,224.4759063720703,229.85179138183594,220.20350646972656,223.21908569335938,554008090.0
2023-10-28,225.77407836914062,227.97061157226562,224.3576202392578,224.4715118408203,244363054.0
2023-10-29,227.14845275878906,228.14613342285156,224.25831604003906,225.78799438476562,207847188.0
2023-10-30,228.2874298095703,229.19149780273438,225.02120971679688,227.13491821289062,282899321.0
2023-10-31,226.43994140625,229.24130249023438,224.33131408691406,228.28236389160156,319329197.0
2023-11-01,228.00010681152344,229.14108276367188,222.8603973388672,226.4181671142578,384772000.0
2023-11-02,231.7230224609375,233.33607482910156,227.90748596191406,228.0166473388672,487639810.0
2023-11-03,230.60597229003906,232.21131896972656,226.34674072265625,231.70326232910156,332547803.0
2023-11-04,237.45460510253906,238.5099639892578,229.65533447265625,230.5974884033203,267965564.0
2023-11-05,244.32247924804688,245.59402465820312,236.7861785888672,237.44223022460938,419858434.0
2023-11-06,254.63479614257812,255.34230041503906,242.1800994873047,244.32044982910156,524115628.0
2023-11-07,246.39529418945312,255.5460968017578,242.69497680664062,254.65328979492188,549207441.0
2023-11-08,247.123291015625,247.80906677246094,244.58038330078125,246.39012145996094,369346518.0
2023-11-09,251.51084899902344,255.45465087890625,243.3295440673828,247.0521697998047,1116630429.0
2023-11-10,251.08236694335938,257.78802490234375,248.9433135986328,251.52682495117188,873515280.0
2023-11-11,251.42161560058594,255.07839965820312,246.72113037109375,251.09848022460938,872206327.0
2023-11-12,247.6400146484375,251.6469268798828,245.83245849609375,251.43441772460938,758715918.0
2023-11-13,241.33506774902344,250.1243133544922,241.12713623046875,247.64047241210938,888039233.0
2023-11-14,242.263671875,248.66522216796875,236.28573608398438,241.36984252929688,917236070.0
2023-11-15,253.75534057617188,254.18177795410156,242.26116943359375,242.281005859375,921052035.0
2023-11-16,242.75888061523438,255.5850372314453,240.67567443847656,253.74478149414062,950453378.0
2023-11-17,244.745361328125,245.9875946044922,238.99964904785156,242.83995056152344,788884171.0
2023-11-18,244.9507598876953,245.35305786132812,239.28082275390625,244.7462615966797,679630905.0
2023-11-19,246.58778381347656,246.93626403808594,242.4235076904297,244.96768188476562,618053586.0
2023-11-20,253.6350860595703,263.8700256347656,243.14175415039062,246.5845489501953,1289010990.0
2023-11-21,226.4864044189453,269.9175720214844,224.98170471191406,253.64385986328125,2480554399.0
2023-11-22,236.1365966796875,238.17669677734375,225.6582489013672,226.46131896972656,1338117919.0
2023-11-23,233.76580810546875,238.7913360595703,230.7522430419922,236.0960235595703,766695224.0
2023-11-24,232.9009552001953,236.37930297851562,232.19285583496094,233.75270080566406,709881299.0
